crossing_name,border_zone,bordering_country,latitude,longitude
Kerem Shalom,Rafah,Israel,31.221,34.271
Rafah Crossing,Rafah,Egypt,31.248,34.259
Western Erez,North Gaza,Israel,31.593,34.495
Gate 96,Deir al Balah,Israel,31.430,34.430
Erez,North Gaza,Israel,31.558,34.545
JLOTS,Gaza City,Mediterranean Sea,31.497,34.408
Kissufim,Deir al Balah,Israel,31.374,34.373
