items,category
Flour,Food Items
Food Parcels,Food Items
Food Items,Food Items
Water,Food Items
Mattresses,Non-Food Items
Blankets,Non-Food Items
Medical Supplies,Medical Supplies
Fruits,Food Items
Hygiene Kits,Non-Food Items
Mixed Food Items,Food Items
Frozen Chicken,Food Items
Tents,Non-Food Items
Biscuits,Food Items
Mixed Items,Mixed Items
Diapers,Non-Food Items
Rice,Food Items
Sugar,Food Items
Clothes,Non-Food Items
Oil,Food Items
Noodles,Food Items
