countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,356,COORDINATION AND SUPPORT SERVICES,17949974,25034360,139
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,359,EDUCATION,5287663,3652462,69
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,360,FOOD AID AND FOOD SECURITY,203888094,171813525,84
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,361,HEALTH AND NUTRITION,21731069,19106579,88
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,362,JOB CREATION / CASH ASSISTANCE,138444574,79742091,58
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,365,MULTI-SECTOR,780308,780308,100
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,364,PROTECTION / HUMAN RIGHTS / RULE OF LAW ,4034724,2154656,53
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,366,SECTOR NOT YET SPECIFIED,2000000,,
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,363,WATER AND SANITATION,18685679,7898779,42
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,,Not specified,,7217353,
PSE,261,occupied Palestinian territory 2008,CPSE08,2008-01-01,2008-12-31,2008,,Multiple clusters/sectors (shared),,0,
PSE,228,occupied Palestinian territory 2007,CPSE07,2007-01-01,2007-12-31,2007,301,WATER & SANITATION,1110000,695951,63
PSE,228,occupied Palestinian territory 2007,CPSE07,2007-01-01,2007-12-31,2007,,Not specified,,278318927,
PSE,228,occupied Palestinian territory 2007,CPSE07,2007-01-01,2007-12-31,2007,,Multiple clusters/sectors (shared),,0,
PSE,199,occupied Palestinian territory 2006,CPSE06,2006-01-01,2006-12-31,2006,,Not specified,,275830801,
PSE,199,occupied Palestinian territory 2006,CPSE06,2006-01-01,2006-12-31,2006,,Multiple clusters/sectors (shared),,0,
PSE,168,occupied Palestinian territory 2005,CPSE05,2005-01-01,2005-12-31,2005,,Not specified,,213252866,
PSE,168,occupied Palestinian territory 2005,CPSE05,2005-01-01,2005-12-31,2005,,Multiple clusters/sectors (shared),,0,
PSE,146,occupied Palestinian territory 2004,CPSE04,2004-01-01,2004-12-31,2004,,Not specified,,177281661,
PSE,146,occupied Palestinian territory 2004,CPSE04,2004-01-01,2004-12-31,2004,,Multiple clusters/sectors (shared),,0,
PSE,118,occupied Palestinian territory 2003,CPSE03,2003-01-01,2003-12-31,2003,,Not specified,,175863110,
PSE,118,occupied Palestinian territory 2003,CPSE03,2003-01-01,2003-12-31,2003,,Multiple clusters/sectors (shared),,0,
